Discipline,Name,Profile link,Profile Picture
Biological Science and Engineering,Ashutosh Srivastava,https://www.iitgn.ac.in/faculty/bioe/fac-ashutosh,https://www.iitgn.ac.in/media/pages/faculty/bioe/fac-ashutosh/1199779951-1712822693/Ashutosh.jpg
Biological Science and Engineering,Bhaskar Datta,https://www.iitgn.ac.in/faculty/bioe/fac-bhaskar,https://www.iitgn.ac.in/media/pages/faculty/bioe/fac-bhaskar/1847654198-1712822693/bhaskar.JPG
Biological Science and Engineering,Dhiraj Bhatia,https://www.iitgn.ac.in/faculty/bioe/fac-dhiraj,https://www.iitgn.ac.in/media/pages/faculty/bioe/fac-dhiraj/396853053-1712822693/dhiraj.JPG
Biological Science and Engineering,Karla P. Mercado-Shekhar,https://www.iitgn.ac.in/faculty/bioe/fac-karla,https://www.iitgn.ac.in/media/pages/faculty/bioe/fac-karla/2108285146-1712822693/karla.jpg
Biological Science and Engineering,Latha Chelvakumar,https://www.iitgn.ac.in/faculty/bioe/fac-latha,https://www.iitgn.ac.in/media/pages/faculty/bioe/fac-latha/561454708-1712822693/2.png
Biological Science and Engineering,Mukesh Dhanka,https://www.iitgn.ac.in/faculty/bioe/fac-mukesh,https://www.iitgn.ac.in/media/pages/faculty/bioe/fac-mukesh/4095272598-1712822693/mukesh.jpg
Biological Science and Engineering,Pratik Mutha,https://www.iitgn.ac.in/faculty/bioe/fac-pratik,https://www.iitgn.ac.in/media/pages/faculty/bioe/fac-pratik/78470844-1712822693/prateek.JPG
Biological Science and Engineering,Sharad Gupta,https://www.iitgn.ac.in/faculty/bioe/fac-sharad,https://www.iitgn.ac.in/media/pages/faculty/bioe/fac-sharad/682033906-1712822693/sharad.jpg
Biological Science and Engineering,Sharmistha Majumdar,https://www.iitgn.ac.in/faculty/bioe/fac-sharmistha,https://www.iitgn.ac.in/media/pages/faculty/bioe/fac-sharmistha/3352002045-1712822693/sharmistha.JPG
Biological Science and Engineering,Subramanian Sankaranarayanan,https://www.iitgn.ac.in/faculty/bioe/fac-subramanian,https://www.iitgn.ac.in/media/pages/faculty/bioe/fac-subramanian/3118450367-1712822693/Subramanian.jpg
Biological Science and Engineering,Umashankar Singh,https://www.iitgn.ac.in/faculty/bioe/fac-umashankar,https://www.iitgn.ac.in/media/pages/faculty/bioe/fac-umashankar/1587086601-1712822693/umashankar.jpg
Biological Science and Engineering,Vijay Thiruvenkatam,https://www.iitgn.ac.in/faculty/bioe/fac-vijay,https://www.iitgn.ac.in/media/pages/faculty/bioe/fac-vijay/1274823549-1712822693/vijay.jpg
Chemical Engineering,Abinaya Sampath,https://www.iitgn.ac.in/faculty/chemical/fac-abinaya,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-abinaya/1754432438-1712822693/abhinya.png
Chemical Engineering,Biswajit Saha,https://www.iitgn.ac.in/faculty/chemical/fac-biswajit,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-biswajit/377347854-1712822693/saha.png
Chemical Engineering,Chinmay Ghoroi,https://www.iitgn.ac.in/faculty/chemical/fac-chinmay,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-chinmay/4004635997-1712822693/1chinmay.jpg
Chemical Engineering,Hari Ganesh,https://www.iitgn.ac.in/faculty/chemical/fac-hari,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-hari/3657473632-1712822693/1hari.jpg
Chemical Engineering,Kabeer Jasuja,https://www.iitgn.ac.in/faculty/chemical/fac-kabeer,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-kabeer/2456190777-1712822693/kabeer.webp
Chemical Engineering,Karthik Subramaniam Pushpavanam,https://www.iitgn.ac.in/faculty/chemical/fac-karthik,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-karthik/1344059997-1712822693/karthik.jpg
Chemical Engineering,Kaustubh Rane,https://www.iitgn.ac.in/faculty/chemical/fac-kaustubh,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-kaustubh/2144754970-1712822693/kaustubh.JPG
Chemical Engineering,Mithun Radhakrishna,https://www.iitgn.ac.in/faculty/chemical/fac-mithun,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-mithun/3038658947-1712822693/mithun.JPG
Chemical Engineering,Nitin Padhiyar,https://www.iitgn.ac.in/faculty/chemical/fac-nitin,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-nitin/708655200-1712822693/nithin.JPG
Chemical Engineering,Prachi Thareja,https://www.iitgn.ac.in/faculty/chemical/fac-prachi,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-prachi/3829953309-1712822693/prachi.jpg
Chemical Engineering,Pratyush Dayal,https://www.iitgn.ac.in/faculty/chemical/fac-pratyush,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-pratyush/753090198-1712822693/pratyush.JPG
Chemical Engineering,Sameer V. Dalvi,https://www.iitgn.ac.in/faculty/chemical/fac-sameer,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-sameer/1678405332-1712822693/1sameer.jpg
Chemical Engineering,Sameer Patel,https://www.iitgn.ac.in/faculty/chemical/fac-sameer-patel,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-sameer-patel/2880292139-1712822693/0sameernew.jpg
Chemical Engineering,Shakeel Tirmizi,https://www.iitgn.ac.in/faculty/chemical/fac-shakeel,https://www.iitgn.ac.in/media/pages/faculty/chemical/fac-shakeel/3912207864-1712822693/shakeel.png
Civil Engineering,Ajanta Sachan,https://www.iitgn.ac.in/faculty/civil/fac-ajanta,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-ajanta/3682568250-1712822692/ajanta.png
Civil Engineering,Amit Prashant,https://www.iitgn.ac.in/faculty/civil/fac-amit,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-amit/1240420610-1712822692/amit.jpg
Civil Engineering,C N Pandey,https://www.iitgn.ac.in/faculty/civil/fac-cnpandey,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-cnpandey/3290344263-1712822692/cn_pandey.jpg
Civil Engineering,Dhiman Basu,https://www.iitgn.ac.in/faculty/civil/fac-dhiman,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-dhiman/3843454800-1712822692/dhiman.jpg
Civil Engineering,G. V. Rao,https://www.iitgn.ac.in/faculty/civil/fac-g_v_rao,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-g_v_rao/48570512-1712822692/rao.png
Civil Engineering,Gaurav,https://www.iitgn.ac.in/faculty/civil/fac-gaurav,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-gaurav/2853377267-1712822692/gaurav2.jpg
Civil Engineering,K. Siva Teja Chopperla,https://www.iitgn.ac.in/faculty/civil/fac-krishna-siva-teja,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-krishna-siva-teja/4016078106-1712822692/krishna.jpg
Civil Engineering,Manish Kumar,https://www.iitgn.ac.in/faculty/civil/fac-manish,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-manish/1661862319-1712822692/1manish2023.jpg
Civil Engineering,Pranab Kumar Mohapatra,https://www.iitgn.ac.in/faculty/civil/fac-pranab,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-pranab/1139224718-1712822692/pranab.JPG
Civil Engineering,Sameer Patel,https://www.iitgn.ac.in/faculty/civil/fac-sameer,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-sameer/2880292139-1712822692/0sameernew.jpg
Civil Engineering,S R Gandhi,https://www.iitgn.ac.in/faculty/civil/fac-srgandhi,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-srgandhi/3308629301-1712822692/srgandhi.jpg
Civil Engineering,Sudhir Kumar Arora,https://www.iitgn.ac.in/faculty/civil/fac-sudhir,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-sudhir/2540536896-1712822692/SUDHIR-1.jpg
Civil Engineering,Sushobhan Sen,https://www.iitgn.ac.in/faculty/civil/fac-sushobhan,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-sushobhan/1627401271-1712822692/sushobhan.png
Civil Engineering,Udit Bhatia,https://www.iitgn.ac.in/faculty/civil/fac-udit,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-udit/2308710421-1712822692/0udit.jpg
Civil Engineering,Vimal Mishra,https://www.iitgn.ac.in/faculty/civil/fac-vimal,https://www.iitgn.ac.in/media/pages/faculty/civil/fac-vimal/2766794975-1712822692/1vimal.jpg
Cognitive and Brain Sciences,Angus McBlane,https://www.iitgn.ac.in/faculty/cogs/fac-angus,https://www.iitgn.ac.in/media/pages/faculty/cogs/fac-angus/985160752-1712822693/angus.jpg
Cognitive and Brain Sciences,Jaison A Manjaly,https://www.iitgn.ac.in/faculty/cogs/fac-jaison,https://www.iitgn.ac.in/media/pages/faculty/cogs/fac-jaison/998128157-1712822693/1jaison.jpg
Cognitive and Brain Sciences,Jooyoung Kim,https://www.iitgn.ac.in/faculty/cogs/fac-jooyoung,https://www.iitgn.ac.in/media/pages/faculty/cogs/fac-jooyoung/1363384721-1712822693/jooyoung.jpg
Cognitive and Brain Sciences,Krishna Prasad Miyapuram,https://www.iitgn.ac.in/faculty/cogs/fac-krishna,https://www.iitgn.ac.in/media/pages/faculty/cogs/fac-krishna/4016078106-1712822693/krishna.jpg
Cognitive and Brain Sciences,Leslee Lazar,https://www.iitgn.ac.in/faculty/cogs/fac-leslee,https://www.iitgn.ac.in/media/pages/faculty/cogs/fac-leslee/4247770287-1712822693/laslee.jpg
Cognitive and Brain Sciences,Meera M. Sunny,https://www.iitgn.ac.in/faculty/cogs/fac-meera,https://www.iitgn.ac.in/media/pages/faculty/cogs/fac-meera/291264001-1712822693/meera.jpg
Cognitive and Brain Sciences,Nishaant Choksi,https://www.iitgn.ac.in/faculty/cogs/fac-nishaant,https://www.iitgn.ac.in/media/pages/faculty/cogs/fac-nishaant/186997454-1712822693/nishaant.JPG
Cognitive and Brain Sciences,Pratik Mutha,https://www.iitgn.ac.in/faculty/cogs/fac-pratik,https://www.iitgn.ac.in/media/pages/faculty/cogs/fac-pratik/78470844-1712822693/prateek.JPG
